id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,bL(L) #post,bL(L) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,116,52,145,48,323658271
298595394,PAM10(B1)_R,,PAM10,Traced,2304,411,1075,268,503,137,684295892
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,420,110,232,63,549779297
328253133,PAM10(B1)_R,,PAM10,Traced,2251,433,1076,264,318,79,610336226
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,1155,333,543,157,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,776,236,271,76,475403925
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,315,111,142,48,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,1088,309,478,145,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,197,75,73,34,377339671
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,310,72,259,53,250175925
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,320,65,248,35,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,10037,18,7262,15,4356555624
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,172,40,153,38,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,662,182,274,76,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,1134,335,592,167,846161332
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,2,2,4,1,555872978
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,352,77,327,58,279368748
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,15,2,3,2,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,2,,5,1,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,222,34,239,48,1964048244
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,956,282,673,214,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,449,109,747,147,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,856,147,1554,243,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,704,152,1454,296,403977461
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,77,24,3,2,399312668
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,394,101,837,170,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,1046,316,310,89,434243909
583175492,PAM04_a(B2)_L,,PAM04_a,Traced,587,131,215,46,349,83,200058563
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,264,75,201,49,261596710
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,850,245,594,167,463952694
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,306,101,356,113,275698658
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,283,73,259,58,279472747
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,233,94,213,78,251389374
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,194,58,597,150,277333760
676616719,PAM04_a(B2)_L,,PAM04_a,Traced,918,207,339,88,562,114,220213685
